CNL_BIN
1.99
2.01
2.03
14.01
14.03
15.01
15.03
16.01
16.03
16.99
17.01
17.03
17.99
18.01
18.03
20.01
27.01
27.99
28.01
28.03
28.99
29.01
29.03
29.05
30.01
30.03
30.05
31.01
31.03
31.05
32.01
32.03
32.05
32.97
32.99
33.03
33.05
33.99
34.03
34.05
35.01
35.03
35.05
35.97
35.99
36.01
36.03
40.01
40.03
41.03
41.05
42.01
42.03
42.05
43.01
43.03
43.05
43.99
44.01
44.03
44.05
44.07
44.99
45.01
45.03
45.05
45.07
45.99
46.01
46.03
46.05
46.07
47.01
47.03
47.05
47.99
48.01
48.03
48.05
48.07
49.05
50.03
50.05
53.05
54.01
54.03
54.05
55.01
55.03
55.05
55.99
56.01
56.03
56.05
56.07
57.01
57.03
57.05
57.07
58.01
58.03
58.05
58.07
58.09
58.97
58.99
59.01
59.03
59.05
59.07
59.99
60.01
60.03
60.05
60.07
60.09
60.11
60.13
60.15
60.17
61.01
61.03
61.05
61.07
61.99
62.01
62.03
62.05
62.07
62.99
63.01
63.03
63.07
63.95
63.97
63.99
64.01
64.03
64.05
65.99
66.01
66.03
67.03
67.05
67.07
68.01
68.03
68.05
68.07
69.01
69.03
69.05
69.07
70.01
70.03
70.05
70.07
70.09
70.99
71.01
71.03
71.05
71.07
71.97
71.99
72.01
72.03
72.05
72.07
72.09
72.99
73.01
73.03
73.05
73.07
73.09
73.99
74.01
74.03
74.05
74.07
74.09
75.01
75.03
75.05
75.07
76.01
76.03
76.05
76.07
76.09
77.01
77.03
77.05
77.07
77.09
77.97
77.99
78.01
78.03
78.05
78.07
78.09
78.11
78.13
78.15
78.17
78.19
78.21
78.23
78.97
78.99
79.01
79.03
79.05
79.07
79.93
79.97
79.99
80.01
80.03
80.05
80.07
80.97
80.99
81.01
81.03
81.05
81.07
81.97
81.99
82.01
82.03
82.05
82.07
82.09
82.99
83.01
83.03
83.05
83.07
83.99
84.01
84.03
84.05
84.07
84.09
85.01
85.03
85.05
85.07
85.09
85.99
86.01
86.03
86.05
86.07
86.09
86.11
87.01
87.03
87.05
87.07
87.09
87.11
88.01
88.03
88.05
88.07
88.09
88.11
89.01
89.03
89.05
89.07
89.09
89.99
90.01
90.03
90.05
90.07
90.09
91.01
91.03
91.05
91.07
91.09
91.11
91.99
92.01
92.03
92.05
92.07
92.09
92.99
93.01
93.03
93.05
93.07
93.09
94.01
94.03
94.05
94.07
94.09
94.99
95.01
95.03
95.05
95.07
95.99
96.01
96.03
96.05
96.07
96.09
97.01
97.03
97.05
97.07
97.09
97.99
98.01
98.03
98.05
98.07
98.09
98.11
99.01
99.03
99.05
99.07
99.09
99.11
100.01
100.03
100.05
100.07
100.09
100.11
101.01
101.03
101.05
101.07
101.09
101.11
101.13
101.99
102.01
102.03
102.05
102.07
102.09
102.11
103.01
103.03
103.05
103.07
103.09
103.11
103.99
104.01
104.03
104.05
104.07
104.09
104.99
105.01
105.03
105.05
105.07
105.09
106.01
106.03
106.05
106.07
106.09
106.11
106.99
107.01
107.03
107.05
107.07
107.09
107.99
108.01
108.03
108.05
108.07
108.09
108.99
109.01
109.03
109.05
109.07
109.09
109.99
110.01
110.03
110.05
110.07
110.09
110.11
111.01
111.03
111.05
111.07
111.09
111.11
111.99
112.01
112.03
112.05
112.07
112.09
112.11
112.13
113.01
113.03
113.05
113.07
113.09
113.11
113.13
114.01
114.03
114.05
114.07
114.09
114.11
114.13
115.01
115.03
115.05
115.07
115.09
115.11
115.99
116.01
116.03
116.05
116.07
116.09
116.11
116.13
117.01
117.03
117.05
117.07
117.09
117.11
117.13
118.01
118.03
118.05
118.07
118.09
118.11
119.01
119.03
119.05
119.07
119.09
120.01
120.03
120.05
120.07
120.09
120.11
120.13
121.01
121.03
121.05
121.07
121.09
121.11
122.01
122.03
122.05
122.07
122.09
122.11
