DATASET,N_QUERIED_VALUES,ACCURACY,BALANCED_ACCURACY,PRECISION,RECALL,F1,POSITIVE_RATE_TRUE,POSITIVE_RATE_PRED
train_val_classification,88950,0.7362450815064643,0.7362450815064643,0.7257336828084046,0.7595278246205733,0.7422462948110875,0.5,0.523282743114109
test_classification,9968,0.7142857142857143,0.7142857142857142,0.6993281075027995,0.7518057784911717,0.7246180622703539,0.5,0.5375200642054575
