SPLIT,N_QUERIED_VALUES,ACCURACY,BALANCED_ACCURACY,PRECISION,RECALL,F1,POSITIVE_RATE_TRUE,POSITIVE_RATE_PRED
train_full,583626,0.7766240708947169,0.7766240708947169,0.7524763623511602,0.8244457923396148,0.7868187645535177,0.5,0.5478217214448979
val_full,72824,0.7377512907832583,0.7377512907832582,0.7189539177500126,0.7806766999890146,0.7485450954575379,0.5,0.5429254092057564
