DATASET,N_QUERIED_VALUES,ACCURACY,BALANCED_ACCURACY,PRECISION,RECALL,F1,POSITIVE_RATE_TRUE,POSITIVE_RATE_PRED
train_classification,80000,0.770425,0.770425,0.7378826530612245,0.838825,0.7851226132534631,0.5,0.5684
val_classification,10000,0.7728,0.7727999999999999,0.7406492589978828,0.8396,0.787026621672291,0.5,0.5668
train_val_classification,90000,0.7706888888888889,0.770688888888889,0.7381892843175596,0.8389111111111112,0.7853338880798835,0.5,0.5682222222222222
test_classification,10002,0.6928614277144571,0.6928614277144571,0.6714666666666667,0.755248950209958,0.7108977978543196,0.5,0.562387522495501
